epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.5171999335289001,9.999999747378752e-05,1.9051220417022705,0.7789270877838135,0.43574878573417664,2.359488010406494,0.695652186870575
1,0.5607409477233887,9.999999747378752e-05,1.714250087738037,0.827279269695282,0.4502415359020233,2.205833673477173,0.7371980547904968
2,0.6057252883911133,9.999999747378752e-05,1.6120691299438477,0.8458022475242615,0.5198067426681519,2.0228774547576904,0.7748792171478271
3,0.6338706016540527,9.999999747378752e-05,1.532657504081726,0.8727447390556335,0.4966183602809906,2.0871551036834717,0.772946834564209
4,0.6466201543807983,9.999999747378752e-05,1.4705981016159058,0.885013222694397,0.4251207709312439,2.274386405944824,0.6850241422653198
5,0.6742843389511108,9.999999747378752e-05,1.4030351638793945,0.8994467258453369,0.5371980667114258,2.011803388595581,0.7874395847320557
6,0.6853500008583069,9.999999747378752e-05,1.368695616722107,0.8992061614990234,0.5449275374412537,1.8528356552124023,0.8077294826507568
7,0.7017079591751099,9.999999747378752e-05,1.3359105587005615,0.9112340807914734,0.5082125663757324,2.035579204559326,0.7942029237747192
8,0.732980489730835,9.999999747378752e-05,1.2430778741836548,0.926389217376709,0.5700483322143555,1.8400957584381104,0.8270531296730042
9,0.7337021827697754,9.999999747378752e-05,1.2491395473480225,0.9249458909034729,0.6212560534477234,1.6909698247909546,0.8550724387168884
10,0.7572768926620483,9.999999747378752e-05,1.203786849975586,0.933124840259552,0.591304361820221,1.7729976177215576,0.8425120711326599
11,0.7635313868522644,9.999999747378752e-05,1.178354024887085,0.9396198987960815,0.6396135091781616,1.6482208967208862,0.8492753505706787
12,0.7688236832618713,9.999999747378752e-05,1.1327855587005615,0.9492422342300415,0.591304361820221,1.7534421682357788,0.8367149829864502
13,0.792638897895813,9.999999747378752e-05,1.1051557064056396,0.9480394721031189,0.6521739363670349,1.6228561401367188,0.861835777759552
14,0.8046668171882629,9.999999747378752e-05,1.0840524435043335,0.954293966293335,0.6628019213676453,1.5796103477478027,0.8695651888847351
15,0.8053885102272034,9.999999747378752e-05,1.075498104095459,0.9603078961372375,0.6792270541191101,1.5234434604644775,0.8753623366355896
16,0.8126052618026733,9.999999747378752e-05,1.0566327571868896,0.9615107178688049,0.5932367444038391,1.8155149221420288,0.843478262424469
17,0.8212653398513794,9.999999747378752e-05,1.0287874937057495,0.9665624499320984,0.6927536129951477,1.4500871896743774,0.8898550868034363
18,0.8210247755050659,9.999999747378752e-05,1.0192853212356567,0.9670435190200806,0.6628019213676453,1.618699073791504,0.8579710125923157
19,0.8354582786560059,9.999999747378752e-05,0.992414653301239,0.9680057764053345,0.678260862827301,1.5344902276992798,0.8792270421981812
20,0.8477267026901245,9.999999747378752e-05,0.9599210619926453,0.9723358154296875,0.6647343039512634,1.5820564031600952,0.8811594247817993
21,0.8585518598556519,9.999999747378752e-05,0.9522176384925842,0.969689667224884,0.668599009513855,1.5754131078720093,0.8579710125923157
22,0.8886216282844543,2.9999999242136255e-05,0.8719480037689209,0.9843637347221375,0.7526569962501526,1.331493854522705,0.9120773077011108
23,0.8946355581283569,2.9999999242136255e-05,0.8411042094230652,0.9867693185806274,0.7845410704612732,1.2519874572753906,0.9120773077011108
24,0.9090690612792969,2.9999999242136255e-05,0.8177264928817749,0.9874909520149231,0.7768115997314453,1.2574875354766846,0.9169082045555115
